product_id,shop_id,category,store_type,brand,title,size,reference_price,return_rate
b4af883459aa,001,Personal Care & Massage,beauty,CloudTier,"CloudTier Rotary Triple-Blade Men's Shaver, Wet & Dry Dual Use, Long Battery Life, Travel-Friendly Electric Razor",Small,318.62,0.0111
e782c402fc2e,001,Personal Care & Massage,beauty,CloudTier,"CloudTier High-Speed Ionic Hair Dryer with Constant Temperature, Quick-Dry, Foldable for Dormitory and Student Use",Medium,562.35,0.0097
5217e60e5fc5,001,Major Appliances,appliance_digital,CloudTier,CloudTier Microcomputer Intelligent Control Pulsator Washing Machine 9.5kg Anti-Tangle Powerful Stain Removal for Apartment Dormitory Use Clean Wash,XLarge,569.82,0.1661
90dc566f378f,001,Major Appliances,appliance_digital,CloudTier,CloudTier Drum Washing Machine 7.5kg Smart Dispensing Cold Water Color Protection Family Multi-Person Energy-Saving Low-Noise Washer,XLarge,2284.24,0.1503
01ce87997249,001,Major Appliances,appliance_digital,CloudTier,CloudTier Slim Built-in Drum Washer Dryer 6kg Condensing Drying Wrinkle-Free Single Elite Exclusive Clean Chamber,XLarge,2441.55,0.1109
6bd08c670371,001,Major Appliances,appliance_digital,CloudTier,CloudTier 11kg Molecular Sieve Low-Temperature Drying and Odor Removal Smart Sensing Large Capacity Wash and Care Unit,XLarge,1035.83,0.1669
6feafabf2fb4,001,Major Appliances,appliance_digital,CloudTier,CloudTier Magnetic Power Silent Drum Washing Machine 8.5kg Ultra Micro Clean Foam Deep Clean Exclusive Health Care for Mother and Baby,XLarge,2362.27,0.1927
e84f3ddd6785,001,Major Appliances,appliance_digital,CloudTier,CloudTier Slim Compact Washing Chamber 5.5kg Active Water Spray Quick-Dissolve Stain Removal Space-Saving Washer for Small Apartments,XLarge,2491.28,0.1947
f7a06adf46eb,001,Major Appliances,appliance_digital,CloudTier,CloudTier Fixed Frequency Turbo Washing Barrel 15kg Giant Commercial Grade Powerful Dirt Removal for Factory and Hotel Bulk Washing,XLarge,890.18,0.1822
44c2f34a6ed6,001,Major Appliances,appliance_digital,CloudTier,CloudTier Gentle Care Washing Machine 4.5kg Mini Wall-Mounted Space-Saving for Lingerie and Silk Special Care Compact Size,Large,2001.57,0.1584
390932b7361c,001,Major Appliances,appliance_digital,CloudTier,CloudTier Touchscreen Washing Machine 9kg Pasteurization Sterilization Odor Removal Anti-Allergy Pet Hair Cleaning Chamber,Large,870.95,0.1569
7055acffcb13,001,Major Appliances,appliance_digital,CloudTier,CloudTier Dual Tub Semi-Automatic Washing Bucket 6.5kg Wash and Spin Separate Powerful Water Flow Stain Removal Practical for Rental Homes Double Slot,XLarge,1355.75,0.1597
4de26720c122,001,Major Appliances,appliance_digital,CloudTier,CloudTier Exhaust-Type Drying and Washing Appliance 7kg High-Temperature Moisture Removal Quick-Dry Anti-Mildew Antibacterial for Rainy Days Dual-Use Dryer and Washer,XLarge,2098.02,0.1041
e4f26e05b05f,001,Major Appliances,appliance_digital,CloudTier,CloudTier Fully Integrated Flush-Mounted Drum Wash Compartment 10.5kg Air Wash Odor Removal Dust-Free Waterless Clothing Care High-End Fabric Management Cabinet Integration,XLarge,2073.5,0.1987
4d9c25b71170,001,Major Appliances,appliance_digital,CloudTier,CloudTier Anti-Tangle Wave Cleaning Washer 8kg 3D Water Flow Anti-Knot Uniform Cleaning Elder-Friendly Large Button Operation,XLarge,1168.31,0.1269
20c51a0494fd,001,Major Appliances,appliance_digital,CloudTier,"CloudTier Laundry and Drying Appliance 9.2kg with Smart Sensing Technology for Optimal Dryness and Color Preservation, Sunshine-like Freshness",Large,2259.17,0.1411
